SeqNo, Year, Month, Day, ms, EventCode, Type, Source, EventID, EventSpecificData
0,2017,08,15,47321441,192,System,Unknown,0,Unsupported additional data : 00:00:01:01:00:00:00:00:00:00
0,2017,08,15,47322532,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2017,08,15,47323065,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Invalid.
0,2017,08,15,47337465,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2017,08,15,47337984,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2017,08,15,47341395,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2017,08,15,47344071,4096,Physiological,RogAlgorithm,0,ROG status change from Invalid to Green.
0,2017,08,15,47352500,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2017,08,15,47353073,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Invalid.
0,2017,08,15,47356064,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2017,08,15,47356072,4096,Physiological,RogAlgorithm,0,ROG status change from Invalid to Green.
0,2017,08,15,47359810,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2017,08,15,47360075,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Invalid.
0,2017,08,15,47361886,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2017,08,15,47362930,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2017,08,15,47364754,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2017,08,15,47365074,4096,Physiological,RogAlgorithm,0,ROG status change from Invalid to Green.
0,2017,08,15,47369076,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from False to True
0,2017,08,15,49660070,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2017,08,15,49660071,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2017,08,15,49661068,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2017,08,15,49661069,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2017,08,15,49661897,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2017,08,15,49662572,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Invalid.
0,2017,08,15,49662573,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from True to False
