1,4,5,2,3,4/25/2017 10:11:58 AM,4/25/2017 10:13:10 AM,4/25/2017 10:15:52 AM,4/25/2017 10:20:52 AM,4/25/2017 10:26:50 AM,4/25/2017 10:31:50 AM,4/25/2017 10:39:56 AM,4/25/2017 10:42:55 AM,4/25/2017 10:46:52 AM,4/25/2017 10:49:40 AM
1,4,5,2,3,4/25/2017 11:18:58 AM,4/25/2017 11:20:15 AM,4/25/2017 11:23:22 AM,4/25/2017 11:27:08 AM,4/25/2017 11:30:08 AM,4/25/2017 11:33:20 AM,4/25/2017 11:41:50 AM,4/25/2017 11:45:05 AM,4/25/2017 11:48:55 AM,4/25/2017 11:52:26 AM
1,2,3,4,5,4/25/2017 04:07:37 PM,4/25/2017 04:08:46 PM,4/25/2017 04:11:32 PM,4/25/2017 04:13:46 PM,4/25/2017 04:18:00 PM,4/25/2017 04:20:07 PM,4/25/2017 04:28:35 PM,4/25/2017 04:31:35 PM,4/25/2017 04:34:15 PM,4/25/2017 04:37:27 PM
1,4,5,2,3,4/25/2017 05:34:14 PM,4/25/2017 05:35:22 PM,4/25/2017 05:37:45 PM,4/25/2017 05:42:45 PM,4/25/2017 05:44:55 PM,4/25/2017 05:49:25 PM,4/25/2017 05:58:55 PM,4/25/2017 06:00:51 PM,4/25/2017 06:04:42 PM,4/25/2017 06:07:13 PM
1,4,5,2,3,4/26/2017 09:13:20 AM,4/26/2017 09:15:12 AM,4/26/2017 09:19:00 AM,4/26/2017 09:24:00 AM,4/26/2017 09:27:27 AM,4/26/2017 09:31:54 AM,4/26/2017 09:40:29 AM,4/26/2017 09:44:50 AM,4/26/2017 09:48:52 AM,4/26/2017 09:52:29 AM
1,2,3,4,5,4/26/2017 10:41:28 AM,4/26/2017 10:42:20 AM,4/26/2017 10:45:05 AM,4/26/2017 10:47:25 AM,4/26/2017 10:51:36 AM,4/26/2017 10:54:15 AM,4/26/2017 11:04:08 AM,4/26/2017 11:08:00 AM,4/26/2017 11:11:30 AM,4/26/2017 11:15:52 AM
1,4,5,2,3,4/27/2017 10:19:47 AM,4/27/2017 10:20:46 AM,4/27/2017 10:24:40 AM,4/27/2017 10:28:35 AM,4/27/2017 10:31:28 AM,4/27/2017 10:35:00 AM,4/27/2017 10:42:25 AM,4/27/2017 10:44:25 AM,4/27/2017 10:48:30 AM,4/27/2017 10:50:27 AM
1,2,3,4,5,4/27/2017 11:35:35 AM,4/27/2017 11:36:40 AM,4/27/2017 11:39:09 AM,4/27/2017 11:41:02 AM,4/27/2017 11:44:53 AM,4/27/2017 11:46:47 AM,4/27/2017 11:54:35 AM,4/27/2017 11:57:03 AM,4/27/2017 12:00:16 PM,4/27/2017 12:03:48 PM
1,4,5,2,3,4/27/2017 04:14:14 PM,4/27/2017 04:15:51 PM,4/27/2017 04:19:38 PM,4/27/2017 04:24:31 PM,4/27/2017 04:28:34 PM,4/27/2017 04:33:34 PM,4/27/2017 04:43:51 PM,4/27/2017 04:47:12 PM,4/27/2017 04:51:02 PM,4/27/2017 04:54:24 PM
1,2,3,4,5,4/27/2017 05:36:51 PM,4/27/2017 05:37:27 PM,4/27/2017 05:40:10 PM,4/27/2017 05:41:35 PM,4/27/2017 05:45:25 PM,4/27/2017 05:46:51 PM,4/27/2017 05:55:00 PM,4/27/2017 05:58:37 PM,4/27/2017 06:02:36 PM,4/27/2017 06:06:40 PM
