SeqNo, Year, Month, Day, ms, EventCode, Type, Source, EventID, EventSpecificData
0,2017,08,18,40232677,192,System,Unknown,0,Unsupported additional data : 00:00:01:01:00:00:00:00:00:00
0,2017,08,18,40233053,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2017,08,18,40233108,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2017,08,18,40233364,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2017,08,18,40234051,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Invalid.
0,2017,08,18,40250807,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2017,08,18,40253054,4096,Physiological,RogAlgorithm,0,ROG status change from Invalid to Green.
0,2017,08,18,40259223,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2017,08,18,40260055,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Invalid.
0,2017,08,18,40264708,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2017,08,18,40265056,4096,Physiological,RogAlgorithm,0,ROG status change from Invalid to Green.
0,2017,08,18,40277058,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from False to True
0,2017,08,18,40295313,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2017,08,18,40295314,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2017,08,18,40295563,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2017,08,18,40295564,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2017,08,18,40296063,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2017,08,18,40296063,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Invalid.
0,2017,08,18,40296064,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from True to False
0,2017,08,18,40296064,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2017,08,18,40297063,4096,Physiological,RogAlgorithm,0,ROG status change from Invalid to Green.
0,2017,08,18,40297064,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from False to True
0,2017,08,18,41918900,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2017,08,18,41918901,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
